FVC file = CSound_Sed_warmup.fvc, Simulation Execution: 31/01/2023 14:17:54
Points file ..\..\..\model\output_points\extraction_points.csv writing results to ..\..\..\results\CSound_Sed_warmup_POINTS.csv,X,Y,ID,CellID,CellX,CellY
, 0.20189544186690E+01,-0.56103917544540E+00,   288399840,       23937, 0.20189585933205E+01,-0.56102540454726E+00
, 0.20192296396464E+01,-0.56104195051899E+00,       32758,       27185, 0.20192263609653E+01,-0.56106487366465E+00
, 0.20197233583989E+01,-0.56102811005763E+00,           2,       19825, 0.20197208155470E+01,-0.56102427727759E+00
, 0.20201603888558E+01,-0.56125077916980E+00,           0,       22948, 0.20201668936297E+01,-0.56125350876823E+00
, 0.20201299677661E+01,-0.56148311740629E+00,          96,       26692, 0.20201258982671E+01,-0.56148325047574E+00
, 0.20203567733087E+01,-0.56157993082259E+00,           0,        1959, 0.20203639346672E+01,-0.56157831972128E+00
, 0.20204010348598E+01,-0.56200313827139E+00,   288399840,        1525, 0.20204013078294E+01,-0.56200885646953E+00
, 0.20196016565868E+01,-0.56121758300650E+00,       32758,       23564, 0.20195940330492E+01,-0.56123070943997E+00
, 0.20191922895994E+01,-0.56141950015328E+00,           2,       13931, 0.20191936148933E+01,-0.56143486642595E+00
, 0.20191148493383E+01,-0.56157439812871E+00,           0,       23458, 0.20191300031143E+01,-0.56155445137165E+00
, 0.20196154970482E+01,-0.56173207117772E+00,         168,       11297, 0.20196096312836E+01,-0.56174435340931E+00
, 0.20200566115756E+01,-0.56186169678487E+00,           0,       10869, 0.20200491144489E+01,-0.56185892303272E+00
, 0.20196293200562E+01,-0.56200313827139E+00,   288399840,        5567, 0.20196273323585E+01,-0.56200295742999E+00
, 0.20190989842950E+01,-0.56201755469141E+00,       32758,       28469, 0.20190864698263E+01,-0.56201351955598E+00
, 0.20194550663789E+01,-0.56229356106701E+00,           2,       16339, 0.20194405902416E+01,-0.56229315339071E+00
, 0.20197012450767E+01,-0.56253973976485E+00,           0,        5537, 0.20196959877991E+01,-0.56254854561356E+00
, 0.20199861351784E+01,-0.56260335701785E+00,         248,       19890, 0.20199947526470E+01,-0.56259776567388E+00
, 0.20200110235743E+01,-0.56284400302182E+00,           0,       16582, 0.20200159743522E+01,-0.56284491946458E+00
, 0.20202710252802E+01,-0.56285782602988E+00,   288400672,        2804, 0.20202689050566E+01,-0.56286833540716E+00
, 0.20220097048761E+01,-0.55865514288729E+00,       32758,       13526, 0.20220024500201E+01,-0.55866936455010E+00
, 0.20218976896416E+01,-0.55787098388584E+00,           2,       10789, 0.20219116466857E+01,-0.55786623851577E+00
, 0.20212877843175E+01,-0.55868418516686E+00,           0,       15835, 0.20212768287233E+01,-0.55868475799871E+00
, 0.20200154218041E+01,-0.55943792307860E+00,         320,        3274, 0.20200203192360E+01,-0.55943207730388E+00
